Market,State,Weeks,Periods,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U,TARTAS_KGS,TARTAS_PROMODOLLARS,TARTAS_PROMOKGS,TARTAS_DOLLARS,TARTAS_TDP,TARTAS_U,GALLETAS_KGS,GALLETAS_PROMODOLLARS,GALLETAS_PROMOKGS,GALLETAS_DOLLARS,GALLETAS_TDP,GALLETAS_U
South Carolina,Carolina del Sur,11/07/2021,P1,148383.2336,0,0,762844.8535,1786.722552,294541.7049,17382.88574,0,0,75867.97068,313.9876582,25192.55059,215472.0257,0,0,1219621.98,3783.204383,446740.7534,112350.6675,0,0,493739.0004,904.4048098,150371.3236
Charlotte,Carolina del Norte,11/07/2021,P1,69108.20578,0,0,372755.5745,1768.574221,131445.0876,10040.80123,0,0,44365.15409,335.8752317,14565.66334,88835.17516,0,0,510174.2066,3602.993722,172025.9477,53724.88034,0,0,235275.2279,957.2539314,71871.49245
San Diego,California,11/07/2021,P1,65062.3218,194836.4409,39491.67289,338045.5603,1758.585481,115679.0319,12055.84478,34013.32092,7195.807354,58292.81825,387.7611962,18144.00106,79916.12292,272038.392,49670.71184,453667.4293,3715.3418,160975.1401,29967.4607,81437.10084,18167.88183,135574.397,904.0696608,38863.41771
Miami/Ft Lauderdale,Florida,11/07/2021,P1,92924.82184,324766.5522,66048.93771,504859.0619,1709.339881,219391.0735,24724.73963,80223.5301,17791.71923,114174.6039,367.6679122,34497.61412,92692.026,240306.7458,38750.7142,611399.7675,3274.105344,239913.3479,76249.6785,229405.6025,50726.57981,353489.3683,867.2028092,104180.501
Orlando,Florida,11/07/2021,P1,99758.05151,319721.8093,68809.52024,492231.8124,1763.937588,196973.0234,15871.47937,47416.06419,10704.3955,72056.42199,370.559215,22592.74558,103411.9843,263622.0714,42605.29447,621581.146,3649.662805,218963.6848,78641.72442,221015.3569,48891.17716,355535.7796,939.1011682,104154.5082
Boston,Massachusetts,11/07/2021,P1,98439.87693,0,0,524506.86,1485.966869,189182.2516,16454.2159,0,0,75688.29486,323.0299657,23810.28892,169358.427,0,0,876416.9344,3176.364139,346260.757,123606.8545,0,0,554506.4308,927.3948378,169429.5607
Little Rock,Arkansas,11/07/2021,P1,30295.48044,0,0,147290.1653,1862.12446,56054.18623,1664.568832,0,0,8206.731157,320.0043556,2406.401068,34669.90364,0,0,183563.2502,4194.908345,67468.86049,12888.57822,0,0,59161.7091,805.4805287,16565.01884
Des Moines,Iowa,11/07/2021,P1,27763.57693,0,0,129386.0176,1699.08185,41353.21082,1683.176637,0,0,7849.371815,330.1430409,2449.458048,27027.00992,0,0,143116.3693,4118.464376,48446.21384,17088.0908,0,0,73707.10132,1068.059729,20355.41965
Jacksonville,Florida,11/07/2021,P1,42295.09834,131956.9655,28688.75498,213852.1107,1734.221707,87385.95378,6699.177648,20841.65756,4725.750412,30883.73337,367.6825818,9562.968285,52458.54109,157938.9426,26324.88137,316712.3993,3753.75931,115914.7888,34710.19925,103923.1376,22675.90431,161667.8096,953.0225025,46652.31367
Wichita,Kansas,11/07/2021,P1,33916.94244,0,0,154266.9874,1762.824128,54001.93418,1730.073061,0,0,8099.794759,347.7486224,2540.738125,38650.57933,0,0,190152.5735,4240.400661,68096.36483,16060.42065,0,0,68102.84786,954.0440667,19879.6959
Tampa/St Petersburg,Florida,11/07/2021,P1,91518.08444,292528.8602,64357.18992,450102.2458,1719.033803,180988.4804,16245.22283,51196.73844,11526.38315,74105.3322,358.3731821,23515.0412,107408.6883,327471.5894,52282.46235,653878.7276,3568.474562,225421.0509,76977.90588,211833.2821,46997.95519,348523.2679,939.8993194,103429.7103
Raleigh/Greensboro,Carolina del Norte,11/07/2021,P1,82108.6938,0,0,439903.5241,1755.656714,155076.199,12431.04841,0,0,54803.729,322.9740708,18126.01862,106641.8739,0,0,615028.8455,3575.922324,211384.7805,63897.4212,0,0,278271.515,967.6164864,85388.56806
Hartford/Springfield,Massachusetts,11/07/2021,P1,59088.95374,0,0,318061.9027,1402.52367,111116.6858,9547.29476,0,0,42549.4267,314.8653062,13923.7838,96952.0662,0,0,537951.7831,3184.662101,192103.953,71771.19142,0,0,316246.7486,914.5863868,96462.4853
Denver,Colorado,11/07/2021,P1,120517.6692,404219.1251,87434.25534,563177.1809,1893.388197,194895.874,19727.22436,69220.15267,15009.4593,91622.07605,461.404565,28189.25243,162064.9213,498383.2881,94241.91634,847351.9541,4137.169307,283006.1689,67944.60402,192624.0735,45538.99613,290821.4697,999.1058427,84489.93713
Los Angeles,California,11/07/2021,P1,419897.2244,1478526.324,303689.7661,2092499.101,1818.818909,735052.2573,40432.80554,116782.2655,25064.62339,195485.7681,381.4692657,61720.28126,441318.8936,1601952.145,294051.5242,2470167.631,3679.049546,879584.8363,111089.2966,306350.82,67663.06875,503705.7835,828.0962839,141112.3283
Sacramento,California,11/07/2021,P1,60745.44097,0,0,300325.3992,1905.439943,102140.0087,8966.59272,0,0,44565.4645,405.8722682,13164.52429,83026.3841,0,0,472433.6998,3760.998368,154446.9458,29393.27713,0,0,133013.4542,964.695784,37018.99825
Indianapolis,Indiana,11/07/2021,P1,82943.35924,273781.8591,58640.87177,392298.7703,1695.289692,143884.9855,5753.738749,5713.627444,1165.670688,27634.84217,347.8103223,8406.737671,93875.53136,302376.1076,58364.60121,484472.4034,4021.316593,172681.383,40438.01358,57170.70764,12922.68014,182440.588,906.8663292,51843.5416
Kansas City,Kansas,11/07/2021,P1,64067.60888,217820.3186,44325.97525,315639.668,1709.301982,103435.6308,4289.861685,10768.46223,2336.689242,21572.11868,315.1807131,6251.275738,74686.39217,188699.294,35769.80551,402341.0255,3767.921361,135362.1855,37885.00234,81542.45332,19078.6163,168824.9047,1001.289908,45665.61814
San Francisco/Oakland,California,11/07/2021,P1,78530.76237,284747.1241,59085.94869,404683.8088,1835.803094,148163.6994,13857.76944,35143.56168,6985.171955,70860.11867,381.5042876,20284.9618,113063.209,428206.3706,72632.61873,695765.077,3659.45306,232123.6031,37601.64682,79501.28344,16728.06758,181333.5236,913.7731594,48633.70694
Boise,Idaho,11/07/2021,P1,18204.8988,0,0,85989.92929,2135.927512,30405.75506,2043.194842,0,0,10108.93372,391.774974,2801.168036,22112.86898,0,0,119518.7047,4371.617903,41259.37557,5093.256277,0,0,23393.61028,876.1885969,6392.98811
Phoenix/Tucson,Arizona,11/07/2021,P1,172318.2333,565153.6868,130516.4741,778032.2638,1835.060388,296369.0583,18261.15533,20031.07476,3836.484442,94212.4638,423.987046,28158.58609,193264.2095,668507.3056,133705.329,993107.452,4235.556025,367317.8077,65975.13928,108283.1914,25092.65906,301527.1115,909.1858128,82275.73052
Birmingham/Montgomery,Alabama,11/07/2021,P1,125479.3886,0,0,626599.2399,1859.572505,247528.48,10198.62775,0,0,47307.12998,286.5160761,14651.33178,182379.5791,0,0,1007542.846,3837.216848,382438.4368,74578.52981,0,0,343483.2725,894.8958286,98656.52188
Louisville,Kentucky,11/07/2021,P1,43890.46463,0,0,209643.5124,1725.659955,78014.61603,3094.000648,0,0,14873.77948,330.8196362,4519.644579,54147.34356,0,0,283388.6032,4109.700038,101645.1357,23443.32366,0,0,105426.6655,810.9359415,30204.08519
Peoria/Springfield,Illinois,11/07/2021,P1,64611.46266,236140.6739,49982.31863,312755.0392,1685.666159,109257.0081,3795.535522,7427.641712,1678.312899,18258.62775,311.3334675,5529.480745,81208.79984,273588.9142,52810.79676,416765.5623,3815.477644,150432.9436,34816.95842,63002.29801,14541.23868,158199.2295,889.3012937,44322.73134
Atlanta,Georgia,11/07/2021,P1,128973.3567,0,0,657364.7891,1819.899042,273063.605,17545.35938,0,0,81225.81132,375.3127386,25313.4802,187531.8505,0,0,1078095.571,4118.144997,408585.5624,86316.88603,0,0,391913.8563,934.4297925,114039.4218
Chicago,Illinois,11/07/2021,P1,218776.6168,787446.9317,163976.7381,1093848.329,1641.790571,415568.312,21392.40207,61473.98271,14846.50156,95613.82436,314.3430762,31210.21276,237594.6286,984028.3553,180838.2986,1297423.759,3207.017297,458770.5745,94462.5031,243787.5829,59631.73399,406702.0587,843.9039062,122082.5695
South Carolina,Carolina del Sur,18/07/2021,P1,136709.042,0,0,717132.1455,1736.833035,272723.8069,15486.97421,0,0,73221.66594,312.4671814,22407.47515,223338.1339,0,0,1210827.597,3686.896863,468721.9123,100598.5258,0,0,464058.5982,899.5659147,133545.2119
Charlotte,Carolina del Norte,18/07/2021,P1,66858.16109,0,0,358163.9298,1748.042837,127567.4438,8684.190498,0,0,42430.03363,331.5486124,12610.54288,96651.54904,0,0,513140.5807,3574.829445,192162.5115,48182.60496,0,0,224754.4392,949.1917245,63562.89742
San Diego,California,18/07/2021,P1,61416.43029,193735.9448,40398.84353,312898.4468,1747.158207,110972.9161,10504.31427,30045.42199,6588.881679,49943.70651,387.1596679,15915.1736,72368.98617,206444.5134,37125.08891,419256.325,3571.17704,148348.1148,28858.73628,80182.82475,17811.09291,131843.7116,891.1913135,37752.16895
Miami/Ft Lauderdale,Florida,18/07/2021,P1,85852.42353,316306.8025,59598.73643,492623.3508,1684.311775,205932.553,23440.4718,80343.79703,18201.16934,105907.3113,354.945132,32004.45044,116604.1695,476807.078,84457.30761,690418.522,3273.077106,291874.453,73018.27682,245010.6753,54555.77724,331872.0469,860.8464874,98884.8889
Orlando,Florida,18/07/2021,P1,92743.53699,306789.258,62540.25445,476797.3404,1733.225162,181574.5275,15631.16433,46817.04032,10905.66898,68475.75973,369.9956232,21885.68102,127057.2126,434116.2364,79459.29534,699696.109,3638.294548,269122.5326,77053.18134,221337.2736,51327.7963,333619.6882,941.7173668,101183.1469
Boston,Massachusetts,18/07/2021,P1,95260.99285,0,0,496958.6323,1483.953433,188386.2071,13383.43916,0,0,65585.90814,322.3506259,19343.16487,113236.2765,0,0,670302.2913,2958.509272,230913.4209,95906.78221,0,0,449723.8537,900.0605961,129588.5594
Little Rock,Arkansas,18/07/2021,P1,29536.09484,0,0,143712.9909,1832.427571,54618.29156,1566.712465,0,0,7475.413837,303.6836965,2276.639765,27791.86252,0,0,155016.3372,3995.573586,56222.99287,11259.20204,0,0,51559.93095,789.6766598,14554.91556
Des Moines,Iowa,18/07/2021,P1,24340.16446,0,0,117473.9684,1643.647299,37179.77597,1656.158396,0,0,8165.573829,304.3786768,2415.369591,31580.46591,0,0,150280.4703,4009.037487,60086.37894,16114.39725,0,0,71200.02783,1049.41947,19351.94296
Jacksonville,Florida,18/07/2021,P1,40959.14909,143187.5413,29591.21892,211564.3966,1746.065829,83330.60092,6312.172297,18716.78189,4291.56644,28419.49319,356.5249978,8879.851206,63261.13179,236133.3281,43308.07818,352063.1942,3738.90595,138200.6746,33427.52958,97704.72524,22430.43316,149761.471,943.6651917,44454.4334
