Market,State,Weeks,Periods,Month,Year,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U
South Carolina,Carolina del Sur,11/07/2021,P1,7,2021,148383.2336,0,0,762844.8535,1786.722552,294541.7049,17382.88574,0,0,75867.97068,313.9876582,25192.55059
Charlotte,Carolina del Norte,11/07/2021,P1,7,2021,69108.20578,0,0,372755.5745,1768.574221,131445.0876,10040.80123,0,0,44365.15409,335.8752317,14565.66334
San Diego,California,11/07/2021,P1,7,2021,65062.3218,194836.4409,39491.67289,338045.5603,1758.585481,115679.0319,12055.84478,34013.32092,7195.807354,58292.81825,387.7611962,18144.00106
Miami/Ft Lauderdale,Florida,11/07/2021,P1,7,2021,92924.82184,324766.5522,66048.93771,504859.0619,1709.339881,219391.0735,24724.73963,80223.5301,17791.71923,114174.6039,367.6679122,34497.61412
Orlando,Florida,11/07/2021,P1,7,2021,99758.05151,319721.8093,68809.52024,492231.8124,1763.937588,196973.0234,15871.47937,47416.06419,10704.3955,72056.42199,370.559215,22592.74558
Boston,Massachusetts,11/07/2021,P1,7,2021,98439.87693,0,0,524506.86,1485.966869,189182.2516,16454.2159,0,0,75688.29486,323.0299657,23810.28892
Little Rock,Arkansas,11/07/2021,P1,7,2021,30295.48044,0,0,147290.1653,1862.12446,56054.18623,1664.568832,0,0,8206.731157,320.0043556,2406.401068
Des Moines,Iowa,11/07/2021,P1,7,2021,27763.57693,0,0,129386.0176,1699.08185,41353.21082,1683.176637,0,0,7849.371815,330.1430409,2449.458048
Jacksonville,Florida,11/07/2021,P1,7,2021,42295.09834,131956.9655,28688.75498,213852.1107,1734.221707,87385.95378,6699.177648,20841.65756,4725.750412,30883.73337,367.6825818,9562.968285
Wichita,Kansas,11/07/2021,P1,7,2021,33916.94244,0,0,154266.9874,1762.824128,54001.93418,1730.073061,0,0,8099.794759,347.7486224,2540.738125
Tampa/St Petersburg,Florida,11/07/2021,P1,7,2021,91518.08444,292528.8602,64357.18992,450102.2458,1719.033803,180988.4804,16245.22283,51196.73844,11526.38315,74105.3322,358.3731821,23515.0412
Raleigh/Greensboro,Carolina del Norte,11/07/2021,P1,7,2021,82108.6938,0,0,439903.5241,1755.656714,155076.199,12431.04841,0,0,54803.729,322.9740708,18126.01862
Hartford/Springfield,Massachusetts,11/07/2021,P1,7,2021,59088.95374,0,0,318061.9027,1402.52367,111116.6858,9547.29476,0,0,42549.4267,314.8653062,13923.7838
Denver,Colorado,11/07/2021,P1,7,2021,120517.6692,404219.1251,87434.25534,563177.1809,1893.388197,194895.874,19727.22436,69220.15267,15009.4593,91622.07605,461.404565,28189.25243
Los Angeles,California,11/07/2021,P1,7,2021,419897.2244,1478526.324,303689.7661,2092499.101,1818.818909,735052.2573,40432.80554,116782.2655,25064.62339,195485.7681,381.4692657,61720.28126
Sacramento,California,11/07/2021,P1,7,2021,60745.44097,0,0,300325.3992,1905.439943,102140.0087,8966.59272,0,0,44565.4645,405.8722682,13164.52429
Indianapolis,Indiana,11/07/2021,P1,7,2021,82943.35924,273781.8591,58640.87177,392298.7703,1695.289692,143884.9855,5753.738749,5713.627444,1165.670688,27634.84217,347.8103223,8406.737671
Kansas City,Kansas,11/07/2021,P1,7,2021,64067.60888,217820.3186,44325.97525,315639.668,1709.301982,103435.6308,4289.861685,10768.46223,2336.689242,21572.11868,315.1807131,6251.275738
San Francisco/Oakland,California,11/07/2021,P1,7,2021,78530.76237,284747.1241,59085.94869,404683.8088,1835.803094,148163.6994,13857.76944,35143.56168,6985.171955,70860.11867,381.5042876,20284.9618
Boise,Idaho,11/07/2021,P1,7,2021,18204.8988,0,0,85989.92929,2135.927512,30405.75506,2043.194842,0,0,10108.93372,391.774974,2801.168036
Phoenix/Tucson,Arizona,11/07/2021,P1,7,2021,172318.2333,565153.6868,130516.4741,778032.2638,1835.060388,296369.0583,18261.15533,20031.07476,3836.484442,94212.4638,423.987046,28158.58609
Birmingham/Montgomery,Alabama,11/07/2021,P1,7,2021,125479.3886,0,0,626599.2399,1859.572505,247528.48,10198.62775,0,0,47307.12998,286.5160761,14651.33178
Louisville,Kentucky,11/07/2021,P1,7,2021,43890.46463,0,0,209643.5124,1725.659955,78014.61603,3094.000648,0,0,14873.77948,330.8196362,4519.644579
Peoria/Springfield,Illinois,11/07/2021,P1,7,2021,64611.46266,236140.6739,49982.31863,312755.0392,1685.666159,109257.0081,3795.535522,7427.641712,1678.312899,18258.62775,311.3334675,5529.480745
Atlanta,Georgia,11/07/2021,P1,7,2021,128973.3567,0,0,657364.7891,1819.899042,273063.605,17545.35938,0,0,81225.81132,375.3127386,25313.4802
Chicago,Illinois,11/07/2021,P1,7,2021,218776.6168,787446.9317,163976.7381,1093848.329,1641.790571,415568.312,21392.40207,61473.98271,14846.50156,95613.82436,314.3430762,31210.21276
South Carolina,Carolina del Sur,18/07/2021,P1,7,2021,136709.042,0,0,717132.1455,1736.833035,272723.8069,15486.97421,0,0,73221.66594,312.4671814,22407.47515
Charlotte,Carolina del Norte,18/07/2021,P1,7,2021,66858.16109,0,0,358163.9298,1748.042837,127567.4438,8684.190498,0,0,42430.03363,331.5486124,12610.54288
San Diego,California,18/07/2021,P1,7,2021,61416.43029,193735.9448,40398.84353,312898.4468,1747.158207,110972.9161,10504.31427,30045.42199,6588.881679,49943.70651,387.1596679,15915.1736
Miami/Ft Lauderdale,Florida,18/07/2021,P1,7,2021,85852.42353,316306.8025,59598.73643,492623.3508,1684.311775,205932.553,23440.4718,80343.79703,18201.16934,105907.3113,354.945132,32004.45044
Orlando,Florida,18/07/2021,P1,7,2021,92743.53699,306789.258,62540.25445,476797.3404,1733.225162,181574.5275,15631.16433,46817.04032,10905.66898,68475.75973,369.9956232,21885.68102
Boston,Massachusetts,18/07/2021,P1,7,2021,95260.99285,0,0,496958.6323,1483.953433,188386.2071,13383.43916,0,0,65585.90814,322.3506259,19343.16487
Little Rock,Arkansas,18/07/2021,P1,7,2021,29536.09484,0,0,143712.9909,1832.427571,54618.29156,1566.712465,0,0,7475.413837,303.6836965,2276.639765
Des Moines,Iowa,18/07/2021,P1,7,2021,24340.16446,0,0,117473.9684,1643.647299,37179.77597,1656.158396,0,0,8165.573829,304.3786768,2415.369591
Jacksonville,Florida,18/07/2021,P1,7,2021,40959.14909,143187.5413,29591.21892,211564.3966,1746.065829,83330.60092,6312.172297,18716.78189,4291.56644,28419.49319,356.5249978,8879.851206
Wichita,Kansas,18/07/2021,P1,7,2021,27007.89632,0,0,125839.5934,1684.579958,44606.75066,1558.392783,0,0,7353.493217,314.0206752,2281.773067
Raleigh/Greensboro,Carolina del Norte,18/07/2021,P1,7,2021,77143.09285,0,0,413850.615,1702.628272,146264.3605,10714.27717,0,0,53559.26917,312.3122484,15603.35111
Hartford/Springfield,Massachusetts,18/07/2021,P1,7,2021,50142.82046,0,0,280380.2946,1382.950615,96810.77099,6534.044946,0,0,33644.04405,301.3432843,9536.831049
Denver,Colorado,18/07/2021,P1,7,2021,113871.2532,395787.008,90930.22326,518017.4518,1859.051467,189130.5703,17262.53195,51794.62102,10644.44146,85559.86864,459.8925129,24573.98041
Los Angeles,California,18/07/2021,P1,7,2021,314673.1634,1039631.419,212601.7444,1628513.452,1796.282996,561672.6416,36819.78369,108893.8247,23583.39698,176674.1346,379.1459287,56519.31701
Sacramento,California,18/07/2021,P1,7,2021,51465.48876,0,0,266357.9863,1874.229389,88935.08415,8374.299694,0,0,42419.81041,398.5453229,12243.02713
Indianapolis,Indiana,18/07/2021,P1,7,2021,72470.41617,239482.6798,50661.52836,352745.8111,1646.627389,127563.0093,5644.397376,10294.48725,2054.54734,27363.74122,344.5316638,8221.370293
Tampa/St Petersburg,Florida,18/07/2021,P1,7,2021,84668.53791,292452.2653,60246.93653,431300.1498,1723.348095,169596.282,15174.14819,49711.90596,11424.49271,67663.84668,350.045221,21737.07067
Kansas City,Kansas,18/07/2021,P1,7,2021,52402.71821,154500.5212,32642.17529,269668.0643,1651.467072,86723.49721,4190.735142,5509.461423,1222.053023,22173.01148,286.0818683,6104.993162
